Strategy,Total Return (%),Annualized Return (%),Volatility (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio
BTC Hold,251.3360299593473,52.18268583980612,41.223905689348875,39.10738067225187,1.2173200234341683,2.0967040368496344,1.3343436697316746
HRP,169.19553426618143,39.224810514387684,48.66884378002361,50.7134742621139,0.7648591506023574,1.2599882709481787,0.7734593435987691
Momentum-Weighted HRP,127.54611434818868,31.62021769768879,48.6821885450115,50.554821583741095,0.6084405525503844,0.9674860989985622,0.6254639361215381
Equal Weight,70.27424533236184,19.465777114310036,50.039535257956636,56.20702774301019,0.3490395549093925,0.5504836242980067,0.3463228335664977
Momentum,70.27424533236184,19.465777114310036,50.039535257956636,56.20702774301019,0.3490395549093925,0.5504836242980066,0.3463228335664977
Momentum-HRP,8.010070855218299,0.0,56.64468875847689,74.740164991481,-0.0353078116207444,-0.049142558173724205,0.0
